transaction_id,timestamp,amount_inr,is_international,issuer_country,card_network,device,three_ds_attempted,wallet_offered,decline_code,customer_email,customer_address,true_cause
txn_f9756500e7,2026-08-29T10:00:06.510733,859.4,False,IN,rupay,mobile,False,False,bank_server_down,user46@example.com,"755 Main St, City1",infra_error
txn_e9beb266d0,2026-08-30T17:00:06.509919,7672.19,True,AU,amex,desktop,True,False,technical_error,user3@example.com,"981 Main St, City3",3ds_mismatch
txn_24443c7a50,2026-08-31T22:00:06.510676,8946.39,False,IN,amex,mobile,True,True,insufficient_funds,user43@example.com,"152 Main St, City13",insufficient_funds
txn_2036690645,2026-08-24T07:00:06.510343,97.47,False,GB,amex,desktop,False,True,fraud_suspected,bot29_223@mailinator.com,"42 Test Ave, City0",fraud_bot
txn_822c6b81be,2026-08-23T18:00:06.510859,6388.09,False,GB,amex,mobile,True,False,technical_error,user55@example.com,"854 Main St, City10",unclear
txn_8197dde617,2026-09-03T06:00:06.510888,12367.14,True,IN,visa,desktop,True,False,technical_error,user57@example.com,"770 Main St, City12",unclear
txn_80da7f2f4e,2026-09-04T18:00:06.510781,5259.8,False,IN,rupay,mobile,True,False,bank_server_down,user49@example.com,"886 Main St, City4",infra_error
txn_73a1a6b518,2026-08-30T09:00:06.510300,19447.17,True,CA,mastercard,desktop,False,True,risk_declined,user26@example.com,"286 Main St, City11",issuer_risk
txn_dc4c8f6186,2026-08-21T01:00:06.510933,12678.01,False,AU,mastercard,desktop,False,True,technical_error,user62@example.com,"284 Main St, City2",unclear
txn_f525b34f0d,2026-09-03T14:00:06.510050,35809.91,True,US,mastercard,mobile,True,False,technical_error,user13@example.com,"433 Main St, City13",wallet_absent
txn_bdceda094a,2026-08-21T18:00:06.510924,9383.46,True,SG,rupay,desktop,False,False,technical_error,user61@example.com,"737 Main St, City1",unclear
txn_9b338419e7,2026-09-02T03:00:06.510808,1143.6,False,IN,amex,mobile,True,True,bank_server_down,user52@example.com,"447 Main St, City7",infra_error
txn_06b096057e,2026-08-23T11:00:06.510684,5787.45,False,IN,amex,mobile,True,True,insufficient_funds,user44@example.com,"956 Main St, City14",insufficient_funds
txn_3e2d2e2d9c,2026-08-21T02:00:06.510253,29927.04,True,GB,visa,mobile,False,False,risk_declined,user24@example.com,"363 Main St, City9",issuer_risk
txn_756c2cc1e6,2026-08-24T03:00:06.510059,43721.66,True,CA,amex,mobile,True,False,technical_error,user14@example.com,"882 Main St, City14",wallet_absent
txn_9a209cba45,2026-08-22T03:00:06.510011,38054.05,True,DE,amex,mobile,True,False,technical_error,user9@example.com,"795 Main St, City9",wallet_absent
txn_74be45f595,2026-08-27T17:00:06.510001,24408.98,True,SG,mastercard,mobile,True,True,technical_error,user8@example.com,"251 Main St, City8",3ds_mismatch
txn_d8600bd8b1,2026-09-03T16:00:06.509962,4282.97,True,AU,rupay,mobile,True,False,technical_error,user5@example.com,"301 Main St, City5",3ds_mismatch
txn_946f1eb4ba,2026-09-03T15:00:06.510601,283.31,False,GB,visa,desktop,False,True,fraud_suspected,bot34_903@mailinator.com,"42 Test Ave, City0",fraud_bot
txn_e68a8942fa,2026-08-23T09:00:06.510213,18435.46,True,CA,amex,mobile,False,False,risk_declined,user20@example.com,"688 Main St, City5",issuer_risk
txn_a0bd4c2503,2026-08-22T12:00:06.510226,15743.38,True,GB,visa,mobile,True,True,risk_declined,user21@example.com,"603 Main St, City6",issuer_risk
txn_69c3ff233f,2026-08-30T11:00:06.510150,27273.35,True,DE,visa,mobile,True,False,technical_error,user17@example.com,"501 Main St, City2",wallet_absent
txn_2aaf815313,2026-09-01T18:00:06.510120,5730.61,True,CA,amex,mobile,True,False,technical_error,user15@example.com,"446 Main St, City0",wallet_absent
txn_0cc83aa957,2026-09-02T04:00:06.510160,11446.52,True,DE,visa,mobile,True,True,risk_declined,user18@example.com,"581 Main St, City3",issuer_risk
txn_a420f157d9,2026-09-04T04:00:06.510714,10170.53,False,IN,mastercard,mobile,False,True,bank_server_down,user45@example.com,"363 Main St, City0",infra_error
txn_d04142efd6,2026-09-02T13:00:06.509929,38259.25,True,AU,amex,mobile,True,False,technical_error,user4@example.com,"619 Main St, City4",3ds_mismatch
